image_name,extracted_text
0001456787.png,"cHaMe s/t,

‘TRIAL, SPECIFICATION

Overall cigarette Length

‘Tobacco Rod Langth
Filter Plug Length

Filter plug Pressure brop Cunencap.)
Filter Plug Pressure Drop (encap.)
Cigerette cireusterence

Total Pramure Drop (unencap.)
Total Pressure Drop (encap.)
Tipping Lengtn
Print Position (fron fiiter end)
Moisture content (Packing)
Pilter Venthtation Rate

wosgnts

Total Cigarette weight

Net wot Tobacco

Topacco Rod Density

Tipping and Tipping application
Tipping Paper:

supplior(s)

Suppiter code No(s).

olor

Perforation Type & No, of Lines
Porosity

Print Description

Bovbin width

Bobbin Leagth

Substance

oer
Suggestion WK tesa
99 nm so ney
2s Rom /
2a 2pm

ms 62a

58.5 09 gm ¢
24.8 am 2B nm ¢
32am 2 ne
35__om Sno
ro’ 138
——"" ——.
858mg 858
243.6 ng/ee 243. m4/ee

EousTA/BuN EousTa/e cw

WA WA

Non Porous

WA

6 om

2500

36 can 36 ow/H?

620753790
"
0001463282.png,"TH

ca auoauzar,)

(Recomended Proposal Attached)

Date: _4/16/90 No. 6
lescription: Y-1 Ultra 100’s vs. Winston Ultra 100’
Requested By: W. T. Carpenter Research Request Attached: Yes x No
Budgeted: Yes x No
Original Budgeted Amount 23.3
Competitive Proposals Obtained:
Est. Cost Per
Supplier Gost _($) Travel Iotal_Cost Interview
Kapuler__ $33,675 s1ouist. $2000 _CG35.675 ___s84.2__
Market Facts $35,000 ¢1]0%Est. $2000 $37,000 $87.5.
of HRD et 1290

PROJECTED:
Internal Init. Date _ 4/10/90
—4/12/90_.

Ext. Auth, Date
Wave(s)

‘1d Comp) 10/90
Wave(s)

i 1
(SuppTier Rpt.)
Wave(s)

Sample Size: =_____409__

Tota? Area Budget 370,000.00

Current Bal. Available: __199, 900,00

This Change: =35,67500
(From Current Budget)

This Anount. =

(From Next Year’ Budget)

Rew Balance: 164, 225,00

Committed to Date:
(Current Year)

205,775.00

Project Type Product Test
(Product Test, AaU, etc.)

Rei ied Supplier: Kapuler
Reason(s) for Recommendation: Lowest project costs
Submitted By: 2 2eFae Date S/2/oe
Bow, Byney “fs
Approved By: Date J7/%o
Le, Savery
Approved By: Date
Approved By: Date
Budget Check: je ate SB/G0
r, HOWEET
Original - Project Fite
cc: S. Willinger (3) Project No. 1990-486
| A. Hutchison/S. A. Howard Account Name BARCLAY

000006 (revised 3/90)
Psi 0625

670801704

"
0001463448.png,"BROWN & WILLIAMSON
1994 COLLECTION

PHOTOCOPYING VARTANCE FORM

This form was placed before Bates 1D __(?

AT THE TIME OF REPRODUCTION, THE
FOLLOWING Nt 0} a

DOCUMENT COPIES ARE IN THE SAME SEQUENCE AS THEY APPEARED
IN THE ORIGINAL.

PAGE NUMBER(S) WERE MISSING
IN THE ORIGINAL,

POOR QUALITY oRrerNAL. fac
Z

OVERLAY ITEM COULD NOT BE REMOVED WITHOUT DAMAGE TO THE
ORIGINAL.

NO DOCUMENTS WERE FOUND WITHIN THE ORIGINAL:

oe) FILE FOLDER
a) REDROPE EXPANDABLE FILE
an) HANGING FILE

©) ENVELOPE,

an) OTHER (SPECIFY)

DOCUMENT COPIES WERE REPRODUCED IN COLOR 70 PERMIT
CORRECTION INTERPRETATION,

BATES NUMBER ___ NOT USED.

OTHER VARIANCE (EXPLAIN).
"
0001476912.png,"MR 1909 (3-69) 100
~ BROWN & WILLIAMSON TOBACCO CORPORATION

FILTER SCORES

Brand: [BALBIGH_(BETAIR portion not tested) Project #_1969-105
Commercial: LAKE - NEW PACK :40 (with BELATR Badmin~ Sample:

~~ €on +20) PM6 Base: (234)
Code #: — _BY-RT-69-98 :

Supplier: _AUDIENCE STUDIES

TEST DATES
L. Angeles: 8/5 and 6 _
Chicagor a/s. .
PMG
SCORES COMMENTS,
overall 1.7 ‘Thie commercial was
tested in color.
erry
fos Angeles 0.0 ~
Chicago - 3.3
SEX
Male 9.0
Female 3.3 ‘
2.0
0.

lo|

35 & Under
36 & Over

elo

465607116 p

"
0001477983.png,"“STATE OF RHODE ISLAND AND PROVIDENCE PLANTATIONS
Office of the Secretary of State

""7"" james R Langevin, Secretary of State

Room 43, State House
Providence, Rhode Island 02903-1105

Monthly Organization/Employer Report ‘”?”""2#”?
Due the It Monday ofthe month daring the legislative session to report the previous months’ activi.
Reporting Period: Month of _May
Organization/Bmployer Name: __R._J. Reynolds Tobacco

Lobbyist Name: Peter J. MeGina

Ifany addresses or telephone numbers have changed since the last reporting period please check
here___ and note the change in the space provided atthe end of this form.

Compensation/Exy

Have you paid any type of compensation or incurred any obigtion for payment tothe above named
lobbyist for lobbying? (yes orn0} _xo_. Ifyes please complete the following.

Compensation received for 5 inet: $

Par of salary received fr lobby Retain: $i
‘Amount eamed but not receive Contractual or agreed fee: $,

Reimbursements for expenses (please itemize:

Other (please explain):

Note: RIGL 22-10-2(0 requires disclosure i a dollar amount ofthe compensation for lobbying activity.

During this reporting period, have you made any expenditure or incurred any obligation of $25.00 or
‘more per occurence to promote of oppose any legislation, incuding but not limited to mailings, meals,
print or broadcast advertisements, or gifts? (yes or no) __ No

yes, please detail, including the names of the persons receiving and in whose behalf such
expenditures have been made, the amount, date, place, and reason forthe expenditure.

(ndicate if attached pages__)

List any changes of address or telephone numbers:

con

S CUss 7CRIE

"
0001485288.png,"BROWN & WILLIAMSON TOBACCO CORPORATION
LOUISVILLE, KENTUCKY 40201

SPECIAL SAMPLE MANUFACTURE

SHIPMENT 3
TRANSFER
copies to: REDUCED TO MATERIAL
Date of Request 8/25/81
Factory Cost Dept. Account Number 33 346 00
Writer
Development Center
Sue Livesay
Sample Disposition
Quantity, Cartons Tax Status
of 200 each Paid or Free

To Sample Stock - - - - -

RDO = ee 20 Br
MR 7
Method of Shipment
Cigarette Description
‘KS img grooved product using 4,.3/37 filter material.
Cigarette code 264131
Special Instructions & Comments
600745255

Completion Date __ 6/25/81 Signed __B. D. WINGLER
"
00040534.png,"ACUTE TOXICITY IN MICE

3-Hydroxy-3-methylbutanoic acid (Tur 13)

courcuno

sounce —LOXillara - Organic Chemistry 9. spyo __OR39-23 vernon AY.
373/79

ate necenen —_UNK« resten 12/28/78 eronreo 10/6/80, Update

vesroxtONS) H. S. Tong & M. S. Forte! notesooxeace —BIOL4-23

emma <7 gn db Gti (hie 0 Pate)

sraan or wee SWiss-Webster wus * see bare necengo UX ~
veRace WEGHT RANGE (OM source Camm Research
ure oF courowno Aounistaon aro ow ow CD mwacaron
cowowno venice §— 5 METI. ceULOSE a com on osune power
rove wo x sownow some Sea,
(ota Bcc 0 CEN ese0)
: 1800 1/6
: 10 2160 0/6
* 10 2592 o/6
‘ 10 3732 3/6
* 10 4479 6/6

rcrenence roncarcusnon Litchfield, J. T. and Wilcoxin, F., J. of Pharmacol.

and Exper. Ther., 90:99, 1948.

toseex conromnce mrs _3.5 (3.1 to 3.9) q/kg

concwson THIS compound appears to act _as_a CNS depressant with symptons

of respiratory depression, constriction of blood vessels, and in-

activity. Survivors recovered in 48 hours. The recommended safe

dose for a single trial by inhalation in man is 0.3 mg.

3
| Copies to the Following: Dr. H. J, Minnemeyer 3
Hs. U. 8. Gray e

TORUAR RESEARON CENTER Pom (5)

"
00070353.png,"’

‘Maniuseript Review Form

TOBACCO: SCIENCE

Registration No.3 ___ Date_March 18,1968 ___
AUTHORS ____Andraw G. Kallianoa, Richard R. Means, Jones D. Mold
TITLE “Rffect of Nit:

REVIEW COMPLETED. RECOMMENDATION: _X_APPROVE IN ITS.

PRESENT FORM; ___NOT APPROVE (Give reasons below); ___APPROVE TENTATIVELY,
SUBJECT TO THE FOLLOWING SUGGESTED REVISIONS: (itemize below) :

Paye 4 - Last line should be Mass spectrometric, instead of
Mass spectroscopic.

€S£04000

NOTE—Execute in triplicate using additional sheets if more space is required. Retain the third
copy for your file. Return the original (signed) and the first carbon: (unsigned) along with the

manuscript to this office. The unsigned copy and the manuscript will be returned to the author
for his consideration.
"
00093726.png,"Date:__September 21, 19/6
, Sample No.___6030

Type of Cigarette___§5 mm Pilter

Batch Size. 50 lbs.
original Request Made By___Dr. A. W. Spears on__September 21, 1976
Sample Specifications Written By___¥ Routh
Additional Spray

BLEND CASING RECASING FINAL FLAVOR Re,
oGs oGSs oGs oGS 3.4% PMO in EtoH

garettes Filters

Maker AMF Kind__20 mm True plastic rod

Length. 85 mm ——

Circumference 25.0 Process.

Weight _To be det. (603 ma tobacco) Rod Length =

Pressure Drop_To be determined Pressure Drop,

Filter Length_20mm Circunference

Paper 554 ) Weight

Tipping Paper_30_im plasticizer

Plog tieap,

Qeeiss _ -Responsibi.

Labels. ite Tobacco Blend Ammons

Closuri Blue Filter Production_Wicker

‘fear Tape. White Making & Packing. Brown/Routh

Cartons. Shipping Routh

Markings__ Sample NO. on Sample Requisition__""

—overwrap [Form 02:02:06]

Requirements Special Requirements

Laboratory. 3 rtons Spray 50 lbs. tobacco with solution of

Other, 20,000 cigts.
Laboratory Analysis
Smoke Analysis
PMO Analysis

Reports

Written by PR. D. Schickedantz
Original to Dr, Av W. Spear
Copies to_ pra FP Js

Dr. i. J. M

880 g (= 1.94 lbs.) PMO in 1175 ml of

denatured alcohol. This should give
3.48 PMO add-on (3.3% PMO contained)
assuming 88% spraying efficiency. PMO

delivery from 85 mm cigarette smoked
to 30 mm butt should be 6.5 mg/cig.

e
S$
3
oS
Ri
y
a

"
0011505151.png,"CAPRI PROJECT NO. 1987-115-CA

(0595-622-1510-0

CAPRI_EXPANSION ASU - CALIFORNIA ~ WAVE 4,

DESCRIPTION:

SUPPLIER: Kapuler Marketing Research

MR_PERSONNEL: BLR, Pellett

AUTHORIZED COST: 70,825 410% (TOTAL 1987)
+70 (2-23-88)
7,90 ‘TOTAL

Int. Init.

Ext Autho.Date 11-16-87
Field Complete 12--7-87
Final Rpt.Due _ 1-11-88

PAID 1987 47, 218

DEC_1987 ACCRUAL 9, 442})-Ry,
CARRYOVER TO 1988 14, 165]
RELEASED PAID OUT OF
mo ACCTG 1988 BUDGET CUMULATIVE
a= Buea:
DEC Gia = 3B
2-25-88. FEB oe eg2 LZ 220.

466009457

"
0011838621.png,"INTERNATIONAL MARKETING RESEARCH
‘CHANGE OF AUTHORIZED COST

Date: 6/21/90 __ No. 27
Description: _Hona Kong: Cigarette Market Monitor
Supplier: MOR HK _

Total Cost 1990 Cost
vii rit $43,335.00 $__,00
‘fmt. of Change: Increase _X_ Decrease  $__4,376.47 08
(10% Change)
Adiusted Tota) Cost of Project: $_ALTLAL 08
Reasons:
original MRA did not include s* for the first month of the study (see L.

Lee memo of Septenber 11, 1989}

PROJECTED: Sumary of IRD Budaet

Internal Init. Date oral Area Budge —$2.960.000,00 _

‘Ext. Auth. Date Current Bal. Available: 488,126.23
Wave(s)

This Change:
(From Current Budget)

This Amount,
Field Complete (From Next Years Budget)

Wave(s)
New Balance: 488,126.15.

Final Report Oue

fozal Bepert Oh — ~~ connate to Dat on.g73.88
wea) Comet eae)
Submitted 8: Daresa vate a
M.D. Davis
toprovee y: JL e—— ote __¢lorhe
W. W. Kremer
Original - Project File
cer HRA File Project No. _1989~%
TA ener 2-22

‘Account Name_International_

464537440
"
0011845203.png,"PROJECT NUMBER: 991-18
B&W ORIGINATOR: _Mary. avis
To: ir. Johnny Pedersen - Gallup

INSTRUCTIONS
THE FOLLOWING DOCUMENT 1S DIVIDED INTO THO SECTIONS.

CONTAINS THE PROJECT DESCRIPTIONS AND SPECIFICATIONS FROM
BAW. ALL BIDS SHOULD BE BASED ON THE SPECIFICATIONS IN THIS DOCUMENT.

SHOULD BE COMPLETED BY THE RESEARCH AGENCY AND RETURNED BY
FAX TO THE FOLLOWING PERSON:

NS. JACKIE KEY
Baw

LOUISVILLE, KENTUCKY
u.

FAX NUMBER: 1-502-568-8092

2. IN ORDER TO ALLOW US TO COMPARE BIDS, WE REQUEST THAT YOU SUBMIT A BID
FOR THE RESEARCH AS SPECIFIED IN SECTION ONE.

SUGGESTIONS FOR ALTERNATE DESIGNS FROM THE AGENCY ARE WELCOMED. HOWEVER,

THESE SHOULD BE SUBMITTED AS SEPARATE DOCUMENTS APPENDED TO THIS BID

3. IF YOU HAVE ANY QUESTIONS, PLEASE CONTACT THE FOLLOWING PERSON:

Mary D._Davi

FAX NUMBER: © 1=502-568-1

OTHER INFORMATION

DATE REQUESTED: 2/22 by courier
DEADLINE FOR BID RECEI!

464565018
"
0011856542.png,"PROJECT INITIATION FORM *

PROJECT CODE BD-FE. _— PATE__ 14/99
PROJECT NAME BULL DURHAM Full Flavor Xing Size Cigarettes

PROJECT LEADER

uF. Anders/J. €. Mann

WORK REQUESTED BY

Marketing

PROJECT OBJECTIVE

Develop l4-mg ""tar"" delivery king size cigarette.

for generic pricing directed toward young male

smokers. Cigarette dimensions - 85 mm x 24.9 mm

circunference - 20 mm filter - 24 mm tipping.

Offshore tobacco blend with unique flavor formulation.

Cork tipping.

OTHER PERSONNEL
ASSIGNED

cc: RSS
RDC
PRL
PRC
DRB
Records
Project Leader

Approved by

Other Personnel Assigned
"
0011859695.png,"AMERICAN BROADCASTING COMPANY s
TELEVISION NETWORK

1830 Avenue ofthe Ae

8 Neo Yooh, New Yoru 30018

Lr ter

September 25, 1969

Dote;_ eer ae

sscaB, Inc

Agency:

clien,_At@rLean Tobacco Company
Pall Mall Filter tip REDE,
Products tt Maik Biker SP
SEP 30 two
Fitm Cleared: YEDEO TAPE APPROVAL PERCY &. SMT
“presenter/Girl Rev"" ADGH/BT-64 360

“pall Mall Filter Tip"" AT-P/P-T-317 30

225 WILL FOLLOW AS SOON AS I RECEIVE IT PSOM THE TAPE
Ree

ep

PLEASE S

NOTIFY THIS DEPARTMENT OF ANY CHANGES IN THE CODE NUMBER(S).

Final approval is, of course, dependent upon time and placement of the commercial(s),

Films) enclosed.
Sincerely,

cPrcb Aparicon Broedcenting Company

Vat op
ate Paige COS
Degartoeat of

BROADCAST STANDAROS ANO PRACTICES

po
"
0011899960.png,"5 D)

oa

Attention DR, HUGHES, MESSRS, ALAR, SANDEFUR Department CORPORATE AFFAIRS

_BLOTT, BUTLER, MIDDLETON, CHRISTENSEN, PEPPLES, SACHS, FREEDMAN

Copies 1, HUMBER, M. BATEMAN Subject __L&M Lawsuit,

PRESS QUERY

Publication ADWEEK = Midwest, ..
Reporter/Editor Fran Brock (212) 467-6500
Received by _ Mark Ahearn Time 1:45 P.M. Date 7/9/84

Deedline for response _ Already handled

Describe the storyline, list the questions and propased answers, and summarize
handling, including clearances.

Ms. Brock requested information regarding La lewsuit. 1 provided the
approved prepared response.

Reporter then requested clarification of ‘generic cigarette’ ys. ‘private
label cigarette’ and asked to be notified when further announcements regarding

generics were made.

MA

RECEIVED
JUL 10 1984
JOHN ALAR

9822.009TS
"
0011906503.png,"FA 956(5-85)

046sE
el 0081. (a) BROWN & WILLIAMSON TOBACCO CORPORATION

CAPITAL BUDGET PROJECT

a: :
Capital Budget «$000) Date Submitted ‘
m1
—pappSIGARETIE TEST STATION (CTSA00:
Purpose »
1 A Maintenance of Existing Business 5 _ Compliance with Outaide Requirements
2"" Expansion of Existing Business 6 = Company Improvements & Adninistrative
3 __ New Products Requirements
4 Gost Reduction 7 __ Quality Improvement
ratas woeTmate Coat
This Project is _X_ Proposed TOTAL _ CAPITAL _EXPENSR.
— approved; Proposal No. ——s0= __ao Do
Project Dates - L
Submission 88 Start 88 Completion 11 _sg__ .
Yrs Yr. Mo. Yr.

PROJEGT DESCRIPTION

The Cigarette Test Station (0TS400) combines many of the stand-alone instruments that

R&D currently uses to measure cigarette weight, pressure drop, ventilation, and

hardness into one compact module. The CTS400 has the additional measurement of

edgarette hardness in comparison with the C1S300. With this added measurement R&D will »
de able to replace the Firmmess Integrator that measures cigarette firmess in addition

to other measurements that are mentioned above, The Firrness Integrator is no longer
manufactured and parts are becoming difficult to obtain. Lastly, purchase of thie

instrument vould provide similar capability as the Macon Plant and help factiteace
comparisions between laboratories.

ESTIMATED SPENDING SCHEDULE

pent Prior to 19Ey ‘Balance to Spend -
CAPITAL 89 CAPITAL
EXPENSE EXPENSE
1989 SPENDING BY QUARTER YEAR CAPITAL —BXPENSE

JAN.=MAR, APR-JUN. JUL-SEP, OCT-DEC. TOTAL © _1990_

CAPITAL 2991,
‘EXPENSE 1992 —
lesa __ —_
Beyond
1393 —
“Subarttel by ‘Rpproved by
W. 0. Crain

6210999403
"
0011973451.png,"NEW EXPORT PRODUCT DEVELOPMENT CHARTER

Date: 6/24/94

(BRANDIPROJECT NAME:

RICHLAND Kings (Soft Pack) - Duty Free (Phoenix)

[MARKET(S):

‘World-wide Duty Free

[OBJECTIVE:

| Generate incremental volume for B&W by providing a low price
brand to various international duty-free markets.

[SOURCE OF BUSINESS:
[Major Competitive Brands: Frarget Audience:
TeD \Value-conscious Smokers
‘COST OR RETAIL PRICING:
a)
(VOLUME:
‘Start Up: Jest Monthly Ongoing:
TeD TeD

INITIAL MATERIALS REQUIRED: ‘ty munis ‘Dollar Cost
[Pack Flatsabels: [On Hand

[On Hand

[500 $251

[shipping:

[product Specs Dat ln-Market Arrival Date:
[start Manufacture Date: [Launch Date:
APPROVALS: Date
‘Group Prod Dir VP Int Planning
Di nt Adin VP Intt Marketing
Regional DinVP Senior VP int

6708S6182
"
